song,artist,play_time,download_time,username
Spiral,Rob Simonsen,18Mar1:07pm,2020-03-24 14:44:47.229733,COKUNUBI
The Rise of Skywalker,John Williams,18Mar1:02pm,2020-03-24 14:44:47.229733,COKUNUBI
Come Back To Us,Thomas Newman,18Mar12:57pm,2020-03-24 14:44:47.229733,COKUNUBI
Denouement,Benjamin Wallfisch,18Mar12:52pm,2020-03-24 14:44:47.229733,COKUNUBI
Toss A Coin To Your Witcher,Sonya Belousova,18Mar12:48pm,2020-03-24 14:44:47.229733,COKUNUBI
Bathroom Dance,Hildur Guðnadóttir,18Mar12:46pm,2020-03-24 14:44:47.229733,COKUNUBI
The Mandalorian,Ludwig Goransson,18Mar12:43pm,2020-03-24 14:44:47.229733,COKUNUBI
Planned Attack,Quasimoto,18Mar11:12am,2020-03-24 14:44:47.229733,COKUNUBI
Hey Young World,Slick Rick,18Mar11:08am,2020-03-24 14:44:47.229733,COKUNUBI
Higher,Q-Tip,18Mar11:04am,2020-03-24 14:44:47.229733,COKUNUBI
Ebonics (Criminal Slang),Big L,18Mar11:01am,2020-03-24 14:44:47.229733,COKUNUBI
Flowers,Dudley Perkins,18Mar10:59am,2020-03-24 14:44:47.229733,COKUNUBI
Dehydration,Mick Jenkins,18Mar10:55am,2020-03-24 14:44:47.229733,COKUNUBI
Five Feet Apart,Brian Tyler,17Mar5:39pm,2020-03-24 14:44:47.229733,COKUNUBI
The Lake,Labrinth,17Mar5:36pm,2020-03-24 14:44:47.229733,COKUNUBI
Their First Time,Adam Taylor,17Mar5:34pm,2020-03-24 14:44:47.229733,COKUNUBI
Everyone's Gone,Rupert Gregson-Williams,17Mar5:31pm,2020-03-24 14:44:47.229733,COKUNUBI
First Day on the Job,Pinar Toprak,17Mar5:29pm,2020-03-24 14:44:47.229733,COKUNUBI
"Raiders Return to Busy, Busy Berk",John Powell,17Mar5:24pm,2020-03-24 14:44:47.229733,COKUNUBI
