song,artist,username,total_plays,time_since_play,avg_play_hour,avg_play_day,total_weekend_plays,total_artist_plays,artist_distinct_songs,artist_max_song_count,artist_max_song_percent,percent_of_artist_play,song_rank,artist_rank
Dreaming of You,The Coral,rosiedempsey93,3,77808,12.666666666666666,1.3333333333333333,0,32,8,6,0.1875,0.09375,588,26.0
Goodbye,The Coral,rosiedempsey93,3,82068,18.0,2.0,0,32,8,6,0.1875,0.09375,587,26.0
In the Morning,The Coral,rosiedempsey93,6,77868,18.333333333333332,3.5,3,32,8,6,0.1875,0.1875,242,26.0
Jacqueline,The Coral,rosiedempsey93,6,78228,16.0,2.6666666666666665,2,32,8,6,0.1875,0.1875,244,26.0
Pass It On,The Coral,rosiedempsey93,6,83148,11.833333333333334,2.5,1,32,8,6,0.1875,0.1875,245,26.0
Secret Kiss,The Coral,rosiedempsey93,1,80748,16.0,6.0,1,32,8,6,0.1875,0.03125,1542,26.0
Billie Jean,Michael Jackson,COKUNUBI,1,84963,14.0,5.0,1,1,1,1,1.0,1.0,4181,807.0
Birdhouse in Your Soul,They Might Be Giants,rosiedempsey93,6,85788,15.833333333333334,2.6666666666666665,1,8,2,6,0.75,0.75,229,150.0
Don't Let's Start,They Might Be Giants,rosiedempsey93,2,72588,13.5,1.0,0,8,2,6,0.75,0.25,821,150.0
Birdwoman,Poppy Ackroyd,COKUNUBI,2,17763,9.0,2.5,0,2,1,2,1.0,1.0,1605,560.0
Birmingham,Shovels & Rope,rosiedempsey93,5,78648,14.8,3.4,0,27,6,11,0.4074074074074074,0.18518518518518517,322,37.0
C'mon Utah!,Shovels & Rope,rosiedempsey93,4,79008,14.75,3.5,0,27,6,11,0.4074074074074074,0.14814814814814814,408,37.0
I Know,Shovels & Rope,rosiedempsey93,11,79788,14.363636363636363,3.272727272727273,0,27,6,11,0.4074074074074074,0.4074074074074074,56,37.0
O' Be Joyful,Shovels & Rope,rosiedempsey93,1,168,14.0,3.0,0,27,6,11,0.4074074074074074,0.037037037037037035,1543,37.0
The Wire,Shovels & Rope,rosiedempsey93,3,78768,15.666666666666666,3.3333333333333335,0,27,6,11,0.4074074074074074,0.1111111111111111,615,37.0
Unknown Legend,Shovels & Rope,rosiedempsey93,3,77148,16.0,3.0,0,27,6,11,0.4074074074074074,0.1111111111111111,579,37.0
Bitchxs Tumbl,EarthGang,COKUNUBI,2,70803,20.0,2.5,0,12,5,5,0.4166666666666667,0.16666666666666666,1610,166.0
Cocktail,EarthGang,COKUNUBI,1,40443,3.0,5.0,1,12,5,5,0.4166666666666667,0.08333333333333333,4182,166.0
MACHETE,EarthGang,COKUNUBI,1,11823,11.0,5.0,1,12,5,5,0.4166666666666667,0.08333333333333333,4183,166.0
Meditate (feat. J.I.D.),EarthGang,COKUNUBI,5,84603,11.0,2.0,1,12,5,5,0.4166666666666667,0.4166666666666667,654,166.0
Red Light,EarthGang,COKUNUBI,3,34023,9.666666666666666,2.6666666666666665,1,12,5,5,0.4166666666666667,0.25,1127,166.0
Bite It You Scum,GG Allin,rosiedempsey93,1,66828,20.0,4.0,0,1,1,1,1.0,1.0,1544,428.0
Bitter,Me'Shell Ndegéocello,COKUNUBI,1,14703,10.0,0.0,0,1,1,1,1.0,1.0,4184,807.0
Bitter Sweet Symphony,The Verve,rosiedempsey93,3,76128,17.0,3.3333333333333335,1,12,5,3,0.25,0.25,645,111.0
History ,The Verve,rosiedempsey93,1,5208,13.0,3.0,0,12,5,3,0.25,0.08333333333333333,1545,111.0
Lucky Man,The Verve,rosiedempsey93,3,69468,15.666666666666666,2.3333333333333335,0,12,5,3,0.25,0.25,644,111.0
Sonnet,The Verve,rosiedempsey93,3,56628,18.333333333333332,4.0,1,12,5,3,0.25,0.25,643,111.0
